source,target,weight
MSRB3,GUCY1A3,0.9161059685776805
IPW,PAR-SN,0.932168885305803
SIGLEC10,KLHL6,0.9021396174506824
SRGN,PLEK,0.9242407557278168
COL3A1,ITGA11,0.9053605494153312
PIK3R5,LSP1,0.9075485027670224
ZNF521,C1R,0.9029391497836752
GUCY1A3,GLI3,0.9011629082029264
HAVCR2,MS4A6A,0.9039942025004968
HAVCR2,PDCD1LG2,0.912413814523848
TAGLN,ACTA2,0.9638603739395248
CCDC80,CCDC8,0.91469117796054
RAB34,THY1,0.9188037411202888
LAIR1,C1QB,0.942266497541753
PLEK,CYTH4,0.9157664616087786
PRKCB,IKZF1,0.9098398955653376
MMP2,EVC,0.9144973890871432
CXorf36,FLT4,0.921480594430922
SLC9A9,ARHGEF6,0.9033120306736412
BNC2,STON1,0.9002801165696059
ABI3,LAPTM5,0.9016963558726706
SLA,LILRB1,0.9110350686483754
FLI1,CSF2RB,0.9182693025357892
MS4A4A,C1QC,0.9428342250493617
PIK3R5,SLA,0.9430804817030886
CYTH4,DOCK2,0.9254698514651094
ITGB2,C1QA,0.9162898560897316
ARHGEF15,CDH5,0.9180302070266896
MNDA,FPR3,0.9258260898688784
CMKLR1,MS4A6A,0.9223733013666516
ANGPTL2,RAB31,0.9184435404760274
RAB34,GGT5,0.9011539260131816
ITGB2,C3AR1,0.9440153548081917
IL10RA,BTK,0.9198337994513448
TFEC,LILRB1,0.9098166616553492
HLA-DRA,CD74,0.9370445732267068
SDC2,FERMT2,0.9194688368919955
CD53,WAS,0.9385458736168296
C1QB,C1QC,0.9846500850664188
EHD2,ANGPTL2,0.9023305349480808
CCDC8,VCAN,0.9163956050595334
CNRIP1,OLFML1,0.9024253708262988
COL3A1,ANTXR1,0.9229599965127232
SYNPO2,CNN1,0.9089685006145056
GPR176,FBN1,0.9043794293798432
GPR124,ARHGEF17,0.9178469128733232
LAIR1,FGR,0.9156011549693116
ANTXR1,COL12A1,0.9133740496821272
KCNMB1,SYNPO2,0.9090403462002437
TIE1,RHOJ,0.9163533886411726
SIGLEC7,DOK2,0.9028322610920292
BCL6B,ARHGEF15,0.9145448204591266
ITGAM,SIGLEC9,0.9172965541651712
PDCD1LG2,PLEK,0.9067705113627512
TLR8,IGSF6,0.917816855951464
HIC1,EMILIN1,0.9065872630114974
ARHGAP9,TRAF3IP3,0.9245739848765672
MSRB3,NAP1L3,0.9231828066782298
MYH11,MYLK,0.9028352442640796
ARHGAP30,RASAL3,0.9129042025743908
TCF4,RHOJ,0.9022439263392352
